IDCustomer,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,PreferredPaymentMethod
C00038,Dr.,Kayla,Gardner,1987-05-05,S,F,kayla.gardner@gmail.com,137716,0,Bachelors,Clerical,N,Credit Card
C00039,Mr.,jude,Washington,1993-02-12,S,M,jude.washington@outlook.com,167079,2,Partial High School,Clerical,N,Credit Card
C00040,Mr.,Randy,Palmer,2000-07-10,M,M,randy.palmer@gmail.com,65128,2,Partial High School,Professional,Y,Google Pay
C00041,Mr.,Henry,Jacobs,1963-10-10,S,M,henry.jacobs@outlook.com,121546,1,Bachelors,Manual,Y,Apple Pay
C00042,Dr.,Bruce,Castro,1982-12-07,S,M,bruce.castro@hotmail.com,52734,0,Graduate Degree,Professional,N,Credit Card
C00043,Ms.,Kathryn,Fox,1982-08-19,M,F,kathryn.fox@gmail.com,279091,4,Partial High School,Management,Y,PayPal
C00044,Ms.,Donna,Singh,1979-02-25,S,F,donna.singh@icloud.com,53115,1,Partial High School,Management,Y,Credit Card
C00045,Ms.,Pamela,Manning,1995-10-28,M,F,pamela.manning@hotmail.com,71796,2,Graduate Degree,Clerical,Y,Google Pay
C00046,Mr.,Mateo,Lynch,1962-12-15,M,M,mateo.lynch@gmail.com,55707,4,Graduate Degree,Manual,N,PayPal
C00047,Mr.,Connor,Chen,1995-06-24,M,M,connor.chen@gmail.com,79816,0,Bachelors,Professional,Y,Credit Card
C00048,Dr.,Paige,Morris,1992-04-03,M,F,paige.morris@gmail.com,37975,4,Bachelors,Skilled Manual,Y,Credit Card
C00049,Mr.,Carson,French,1965-10-08,M,M,carson.french@gmail.com,111078,4,Bachelors,Professional,Y,Google Pay
C00050,Mrs.,Emma,Kennedy,1999-01-02,M,F,emma.kennedy@gmail.com,83127,0,Bachelors,Clerical,N,Google Pay
C00051,Mrs.,Skylar,Barnes,1997-10-23,S,F,skylar.barnes@gmail.com,73170,1,High School,Manual,Y,PayPal
C00052,Ms.,Wendy,Hernandes,1956-07-14,M,F,wendy.hernandes@aol.com,65552,1,High School,Professional,N,Credit Card
C00053,Ms.,Louise,Espinoza,1994-06-08,M,F,louise.espinoza@outlook.com,76702,4,High School,Skilled Manual,N,Credit Card
C00054,Dr.,Shannon,Smith,1998-02-21,M,F,shannon.smith@outlook.com,108622,1,High School,Professional,N,Credit Card
C00055,Ms.,Denise,Sullivan,1988-11-03,M,F,denise.sullivan@yahoo.com,59098,3,Partial College,Clerical,Y,Credit Card
C00056,Ms.,Sarah,Lawson,1986-11-15,M,F,sarah.lawson@gmail.com,70808,2,Partial High School,Skilled Manual,Y,Credit Card
C00057,Mrs.,Brandy,Lawrence,1959-09-03,M,F,brandy.lawrence@yahoo.com,26590,3,Bachelors,Management,N,PayPal
C00058,Mr.,Preston,Wagner,1981-10-26,M,M,preston.wagner@gmail.com,84070,4,Graduate Degree,Management,Y,Credit Card
C00059,Ms.,Sydney,Peters,1958-10-12,S,F,sydney.peters@hotmail.com,79755,1,Partial College,Professional,Y,PayPal
C00060,Ms.,Heather,Figueroa,1956-01-14,S,F,heather.figueroa@outlook.com,64456,1,Graduate Degree,Clerical,N,Apple Pay
C00061,Mr.,Jonah,Bell,1958-10-04,S,M,jonah.bell@gmail.com,132107,0,Graduate Degree,Skilled Manual,Y,Credit Card
C00062,Ms.,Rosa,Lane,1981-04-27,S,F,rosa.lane@icloud.com,168035,1,Bachelors,Professional,Y,Google Pay
C00063,Mrs.,Everly,Richardson,1991-04-21,S,F,everly.richardson@gmail.com,117019,0,Bachelors,Management,Y,Credit Card
C00064,Mr.,Hunter,Santos,1978-06-26,M,M,hunter.santos@outlook.com,37581,0,Graduate Degree,Clerical,Y,Credit Card
C00065,Mr.,Frank,Knight,1995-11-09,M,M,frank.knight@gmail.com,42485,4,Partial College,Clerical,N,Credit Card
C00066,Dr.,Easton,Alvarez,1960-12-24,S,M,easton.alvarez@live.com,39283,2,Partial High School,Skilled Manual,N,Credit Card
C00067,Mr.,Harrison,Parsons,1961-08-15,M,M,harrison.parsons@icloud.com,65256,0,High School,Clerical,Y,Credit Card
C00068,Mr.,Landon,Nguyen,1981-10-05,M,M,landon.nguyen@gmail.com,141137,3,High School,Skilled Manual,Y,Google Pay
C00069,Mr.,Jack,Hamilton,1966-01-06,S,M,jack.hamilton@yahoo.com,200337,1,High School,Management,Y,Credit Card
C00070,Mrs.,Holly,Mills,1978-07-12,S,F,holly.mills@gmail.com,109622,0,Bachelors,Professional,N,Credit Card
C00071,Mrs.,Mary,Elliott,1961-02-04,S,F,mary.elliott@gmail.com,94443,2,Bachelors,Clerical,Y,Apple Pay
C00072,Mr.,Douglas,Foster,1982-06-26,S,M,douglas.foster@yahoo.com,273689,0,Bachelors,Clerical,Y,Apple Pay
C00073,Mr.,Josiah,Myers,1988-02-14,M,M,josiah.myers@outlook.com,121042,0,Bachelors,Professional,Y,PayPal
C00074,Ms.,Jade,Wright,1999-10-08,M,F,jade.wright@aol.com,64520,0,Bachelors,Clerical,N,Credit Card
C00075,Dr.,Elliott,Woods,1989-11-22,M,M,elliott.woods@gmail.com,46447,4,Partial College,Clerical,Y,Credit Card
C00076,Mr.,Stephen,Gonzalez,1986-10-23,M,M,stephen.gonzalez@outlook.com,81218,3,Bachelors,Management,N,Apple Pay
C00077,Mr.,Arthur,Herrera,1956-03-28,M,M,arthur.herrera@outlook.com,87696,0,Bachelors,Skilled Manual,N,Credit Card
C00078,Mr.,Xavier,King,2000-04-08,M,M,xavier.king@gmail.com,54252,3,Graduate Degree,Clerical,Y,Credit Card
C00079,Mr.,Silas,Dixon,1999-02-04,S,M,silas.dixon@gmail.com,56857,0,Bachelors,Professional,Y,Credit Card
C00080,Mr.,Joe,Perez,1969-03-23,M,M,joe.perez@aol.com,68204,2,Graduate Degree,Clerical,Y,PayPal
C00081,Mr.,Weston,Ellis,1991-07-01,M,M,weston.ellis@gmail.com,64293,0,Bachelors,Professional,N,Credit Card
C00082,Ms.,Amy,Black,1979-03-27,M,F,amy.black@gmail.com,113659,2,Bachelors,Skilled Manual,Y,Credit Card
C00083,Dr.,Michael,Carroll,1992-07-21,S,M,michael.carroll@yahoo.com,55531,0,Graduate Degree,Management,N,PayPal
C00084,Ms.,Barbara,Jackson,1994-09-26,M,F,barbara.jackson@gmail.com,59324,4,Graduate Degree,Skilled Manual,N,Credit Card
C00085,Mrs.,Margaret,Shaw,1981-10-12,M,F,margaret.shaw@icloud.com,33362,3,Bachelors,Professional,N,Apple Pay
C00086,Ms.,Rhonda,Sutton,1971-05-05,M,F,rhonda.sutton@gmail.com,120972,1,Bachelors,Clerical,N,Credit Card
C00087,Mrs.,Jamie,Taylor,1993-12-25,S,F,jamie.taylor@yahoo.com,51502,0,Graduate Degree,Clerical,N,Credit Card
C00088,Ms., Quinn ,Matthews,1957-02-17,S,F,quinn.matthews@gmail.com,89425,0,Partial College,Management,N,Credit Card
C00089,Ms.,Monica,Holmes,1979-10-08,S,F,monica.holmes@yahoo.com,38362,1,High School,Skilled Manual,N,PayPal
C00090,Mr.,brayden,Davis,1965-07-20,S,M,brayden.davis@yahoo.com,108332,2,High School,Professional,Y,Google Pay
C00091,Ms.,Brianna,Hoffman,1982-02-26,S,F,brianna.hoffman@gmail.com,246049,0,Graduate Degree,Clerical,Y,Credit Card
C00092,Mrs.,Patricia,Jenkins,1956-09-21,M,F,patricia.jenkins@gmail.com,54078,4,Bachelors,Professional,N,Credit Card
C00093,Mr.,Maverick,Rose,1956-09-27,S,M,maverick.rose@gmail.com,32851,1,Bachelors,Clerical,Y,Google Pay
C00094,Ms.,Reagan,GrAy,1977-11-05,M,F,reagan.gray@icloud.com,149378,2,Bachelors,Management,N,Google Pay
C00095,Mr.,Lawrence,Butler,1994-12-01,M,M,lawrence.butler@gmail.com,55751,0,Graduate Degree,Professional,Y,PayPal
C00096,Ms.,Janet,Ramos,1991-10-23,S,F,janet.ramos@aol.com,84135,0,Bachelors,Skilled Manual,Y,PayPal
C00097,Mrs.,Sheryl,Ford,1988-12-18,M,F,sheryl.ford@yahoo.com,61552,1,Bachelors,Skilled Manual,N,Credit Card
C00098,Mr.,Alan,Scott,1984-05-12,M,M,alan.scott@gmail.com,42327,0,Graduate Degree,Professional,N,Credit Card
C00099,Mr.,Christian,Anderson,1975-11-23,M,M,christian.anderson@gmail.com,68544,1,Partial College,Management,Y,Credit Card
C00100,Mr.,Edward,Chambers,1973-02-25,M,M,edward.chambers@gmail.com,121747,2,Graduate Degree,Skilled Manual,N,Apple Pay
C00101,Mrs.,Savannah,Hunt,1984-08-03,M,F,savannah.hunt@gmail.com,267070,0,Bachelors,Professional,Y,Apple Pay
C00102,Mr.,Vincent,Li,1997-12-15,S,M,vincent.li@gmail.com,53311,0,High School,Professional,Y,Credit Card
C00103,Ms.,Diane,Meyer,1982-07-20,S,F,diane.meyer@live.com,138123,0,Partial College,Skilled Manual,Y,PayPal
C00104,Ms.,Kathleen,Johnston,1959-01-24,S,F,kathleen.johnston@outlook.com,99435,2,Bachelors,Professional,N,Credit Card
C00105,Mr.,Marcus,Moreno,1998-05-19,S,M,marcus.moreno@gmail.com,53401,1,Partial High School,Skilled Manual,Y,Google Pay
C00106,Mr.,Maddox ,Hansen,1978-08-23,S,M,maddox.hansen@hotmail.com,61892,1,High School,Management,Y,Credit Card
C00107,Mr.,Ian,Bradley,1976-08-17,M,M,ian.bradley@hotmail.com,45086,4,High School,Professional,N,Apple Pay
C00108,Ms.,Irene,Wells,1976-07-19,S,F,irene.wells@outlook.com,104323,0,Partial College,Skilled Manual,N,Apple Pay
C00109,Dr.,Ruby,Greene,1985-04-04,M,F,ruby.greene@gmail.com,144475,4,Bachelors,Clerical,Y,Credit Card
C00110,Dr.,Gertrude,Ross,1966-08-15,S,F,gertrude.ross@gmail.com,49622,2,Graduate Degree,Skilled Manual,Y,Credit Card
C00111,Ms.,Morgan,Estrada,1973-05-08,S,F,morgan.estrada@hotmail.com,25105,1,Partial College,Professional,Y,PayPal
C00112,Mrs.,Florence,Ward,1979-09-07,M,F,florence.ward@hotmail.com,178267,2,High School,Clerical,Y,PayPal
C00113,Mr.,Luke,Diaz,1961-05-16,M,M,luke.diaz@gmail.com,83792,0,Partial High School,Professional,N,Credit Card
C00114,Ms.,Josephine,McCoy,1962-03-11,M,F,josephine.mccoy@gmail.com,80026,4,Graduate Degree,Management,Y,Credit Card
C00115,Dr.,Calvin,Graham,1966-08-04,M,M,calvin.graham@gmail.com,72795,2,High School,Skilled Manual,N,Credit Card
C00116,Ms.,Norma,Carr,1991-01-06,S,F,norma.carr@gmail.com,91060,2,Graduate Degree,Professional,Y,Credit Card
C00117,Mrs.,Tina,Hill,1969-02-14,M,F,tina.hill@gmail.com,52619,0,Bachelors,Professional,N,PayPal
C00118,Mr.,Wayne,Stewart,1967-12-11,M,M,wayne.stewart@gmail.com,65755,3,Bachelors,Clerical,Y,Apple Pay
C00119,Ms.,Charlotte,Hale,1988-01-27,M,F,charlotte.hale@yahoo.com,85613,0,Graduate Degree,Professional,N,Google Pay
C00120,Ms.,Lucy ,Baker,1974-01-02,M,F,lucy.baker@hotmail.com,298715,4,Partial College,Clerical,Y,Google Pay
C00121,Mrs.,Helen,Brown,1957-09-18,S,,helen.brown@gmail.com,56039,2,High School,Management,N,Google Pay
C00122,Dr.,Erica,Patel,1986-06-15,M,F,erica.patel@gmail.com,120023,2,Partial College,Management,N,PayPal
C00123,Dr.,Addison,Hanson,1985-07-10,S,F,addison.hanson@outlook.com,31958,2,Graduate Degree,Skilled Manual,Y,Credit Card
C00124,Ms.,Brenda,White,1966-08-04,M,F,brenda.white@yahoo.com,65325,3,Graduate Degree,Clerical,Y,Credit Card
C00125,Mr.,Scott,Fisher,1955-01-26,S,M,scott.fisher@gmail.com,63979,0,Partial College,Manual,Y,Apple Pay
C00126,Mrs.,Angela,Gonzales,1974-10-13,M,F,angela.gonzales@outlook.com,77741,1,Graduate Degree,Clerical,N,Credit Card
C00127,Ms.,Aria,PORTER,1962-03-01,M,F,aria.porter@gmail.com,78251,0,High School,Management,Y,Google Pay
C00128,Ms.,Mariah,Burns,1977-02-23,S,F,mariah.burns@gmail.com,138886,2,High School,Clerical,Y,Credit Card
C00129,Ms.,Delilah,Freeman,1961-07-14,M,F,delilah.freeman@outlook.com,57268,0,Partial High School,Professional,Y,Credit Card
C00130,Mr.,Eli,Edwards,1974-01-12,S,M,eli.edwards@gmail.com,128010,0,Partial College,Professional,Y,Apple Pay
C00131,Ms.,Jill,Perkins,1970-09-18,S,F,jill.perkins@outlook.com,85239,2,Bachelors,Professional,Y,Credit Card
C00132,Mr.,Grayson,Clark,1971-05-22,M,M,grayson.clark@gmail.com,146789,0,Bachelors,Professional,Y,Credit Card
C00133,Mr.,Miles,Mitchell,1973-01-22,M,M,miles.mitchell@gmail.com,96373,0,Graduate Degree,Clerical,N,Credit Card
C00134,Mr.,Adam,Lopez,1991-03-11,M,M,adam.lopez@gmail.com,96999,3,Bachelors,Professional,Y,Credit Card
C00135,Mrs.,Whitney,Sandoval,1967-12-14,S,F,whitney.sandoval@hotmail.com,143606,2,Graduate Degree,Management,Y,Credit Card
C00136,Mr.,Tucker,Morrison,1988-04-18,M,M,tucker.morrison@gmail.com,79825,2,Bachelors,Skilled Manual,N,Credit Card
C00137,Dr.,Katelyn,Rice,1993-03-06,M,F,katelyn.rice@gmail.com,45930,4,Bachelors,Skilled Manual,N,Credit Card
C00138,Mr.,Peter,Cunningham,1967-02-16,M,M,peter.cunningham@hotmail.com,96865,4,Partial College,Clerical,N,Google Pay
C00139,Mrs.,Molly,Reed,1959-02-05,M,F,molly.reed@gmail.com,100045,4,Bachelors,Clerical,Y,Credit Card
C00140,Mr.,Adrian,Murray,1979-02-28,S,M,adrian.murray@protonmail.com,70906,2,High School,Professional,N,Credit Card
C00141,Mr.,Joshua,Ramirez,1963-10-02,S,M,joshua.ramirez@outlook.com,40187,0,Partial High School,Professional,Y,Apple Pay
C00142,Mr.,Blake,Jacobs,1956-06-06,S,M,blake.jacobs@icloud.com,95514,0,High School,Professional,Y,Apple Pay
C00143,Ms.,Luna,Newman,1982-08-11,M,F,luna.newman@gmail.com,64505,2,Partial College,Skilled Manual,Y,Credit Card
C00144,Mr.,Hayden,Ortiz,1968-03-24,S,M,hayden.ortiz@gmail.com,241279,2,Partial College,Skilled Manual,Y,Credit Card
C00145,Mr.,Benjamin,Fernandez,1983-11-23,M,M,benjamin.fernandez@gmail.com,45337,3,Graduate Degree,Professional,Y,Credit Card
C00146,Dr.,Dennis,Harvey,1986-10-15,M,M,dennis.harvey@yahoo.com,63781,3,Graduate Degree,Skilled Manual,Y,Credit Card
C00147,Mrs.,Chloe,Vasquez,1969-08-03,M,F,chloe.vasquez@gmail.com,65229,3,Graduate Degree,Professional,Y,Credit Card
C00148,Ms.,Tiffany,Owens,1957-08-19,S,F,tiffany.owens@outlook.com,60642,1,Partial High School,Management,Y,Google Pay
C00149,Mr.,Ezekiel,Nunez,1994-10-09,M,M,ezekiel.nunez@outlook.com,54055,2,Partial High School,Professional,N,Credit Card
C00150,Mrs.,Geraldine,Larson ,1958-12-24,S,F,geraldine.larson@gmail.com,30740,0,Bachelors,Skilled Manual,Y,PayPal
C00151,Dr.,Richard,Salazar,1985-08-28,S,M,richard.salazar@outlook.com,239752,1,Graduate Degree,Clerical,N,Apple Pay
C00152,Ms.,Joanne,Carlson,1985-03-04,Marryed,F,joanne.carlson@gmail.com,25396,2,Bachelors,Skilled Manual,N,Apple Pay
C00153,Mrs.,Eva,Cruz,1975-01-01,S,F,eva.cruz@hotmail.com,62496,1,Bachelors,Management,N,PayPal
C00154,Mrs.,Nancy,Jimenez,1955-01-17,M,F,nancy.jimenez@outlook.com,66913,2,Partial College,Professional,Y,Credit Card
C00155,Ms.,Makayla,Duncan,1976-12-23,S,F,makayla.duncan@gmail.com,103735,0,Graduate Degree,Professional,N,Credit Card
C00156,Mr.,Keith,Vega,1980-03-09,M,M,keith.vega@gmail.com,52969,1,Graduate Degree,Management,Y,Credit Card
C00157,Ms.,Ella,Goodwin,1960-06-25,S,F,ella.goodwin@gmail.com,72477,0,High School,Management,N,Google Pay
C00158,Mr.,Gary,Turner,1972-03-03,M,M,gary.turner@gmail.com,36232,1,Partial College,Professional,Y,Apple Pay
C00159,Mr.,Christopher,Silva,1993-09-16,M,M,christopher.silva@icloud.com,79192,0,Bachelors,Clerical,Y,Credit Card
C00160,Mr.,Johnny,Perry,1973-12-03,M,M,johnny.perry@gmail.com,54779,3,Bachelors,Skilled Manual,N,Google Pay
C00161,Mr.,Leo,Burke,1986-01-10,M,M,leo.burke@gmail.com,164524,3,High School,Professional,N,Credit Card
C00162,Mr.,Greyson,Ferguson,1972-10-09,M,M,greyson.ferguson@outlook.com,279930,1,High School,Professional,N,PayPal
C00163,Ms.,Lauren,Roberts,1963-10-25,M,F,lauren.roberts@outlook.com,121639,0,Bachelors,Clerical,Y,Credit Card
C00164,Ms.,Michelle,McDonald,1992-07-19,M,F,michelle.mcdonald@gmail.com,251427,0,Graduate Degree,Management,Y,Credit Card
C00165,Ms.,Cassandra,Crawford,1969-09-16,M,F,cassandra.crawford@gmail.com,75809,2,Bachelors,Management,Y,Credit Card
C00166,Dr.,Bonnie,Walker,1961-11-22,M,F,bonnie.walker@gmail.com,100865,1,Graduate Degree,Manual,Y,PayPal
C00167,Mr.,Oscar,Hawkins,1997-06-27,M,M,oscar.hawkins@gmail.com,71141,2,Bachelors,Management,Y,Credit Card
C00168,Mrs.,Alexis,Watson,1963-08-25,M,F,alexis.watson@gmail.com,138807,2,Bachelors,Skilled Manual,N,Credit Card
C00169,Ms.,Hazel  ,Carpenter,1992-09-03,S,F,hazel.carpenter@yahoo.com,82366,2,Bachelors,Skilled Manual,Y,PayPal
C00170,Mr.,River,Russell,1977-12-22,S,M,river.russell@gmail.com,147516,1,Graduate Degree,Management,Y,Credit Card
C00171,Ms.,Virginia,Ortega,1974-11-01,M,F,virginia.ortega@protonmail.com,33906,1,Partial College,Clerical,N,Apple Pay
C00172,Mr.,Jose,Peterson,1998-09-08,M,M,jose.peterson@gmail.com,37446,0,Graduate Degree,Professional,N,Credit Card
C00173,Ms.,Karen,Chavez,1964-12-20,S,F,karen.chavez@yahoo.com,36862,0,Partial High School,Professional,Y,Credit Card
C00174,Mrs.,Ruth,Harper,1964-10-28,M,F,ruth.harper@outlook.com,37152,2,Partial High School,Skilled Manual,Y,PayPal
C00175,Mr.,Samuel,Collins,1977-01-25,S,M,samuel.collins@protonmail.com,49607,2,Bachelors,Professional,Y,Apple Pay
C00176,Mr.,Hudson,Hudson,1968-08-18,S,M,hudson.hudson@yahoo.com,121603,0,Partial College,Professional,N,Credit Card
C00177,Mr.,Dylan,Contreras,1961-01-15,M,M,dylan.contreras@aol.com,53864,4,Partial High School,Skilled Manual,N,Credit Card
C00178,Dr.,Sophia,Austin,1965-08-14,S,F,sophia.austin@gmail.com,94102,0,High School,Manual,N,PayPal
C00179,Mr.,Walter,Rivera,1966-02-20,M,M,walter.rivera@gmail.com,73844,2,Bachelors,Skilled Manual,N,Apple Pay
C00180,Ms.,Maya,Hughes,1979-10-24,M,F,maya.hughes@gmail.com,94737,2,Partial College,Professional,N,Credit Card
C00181,Dr.,Phyllis,Hall,1981-04-18,S,F,phyllis.hall@gmail.com,74014,2,Graduate Degree,Management,Y,Apple Pay
C00182,Mr.,Jaxon,Tucker,1956-03-25,S,M,jaxon.tucker@outlook.com,83997,0,Partial College,Professional,Y,PayPal
C00183,Mrs.,Kylie,Harrison,1987-10-06,M,F,kylie.harrison@yahoo.com,50796,3,Partial College,Clerical,Y,Apple Pay
C00184,Mr.,Oliver,Olson,1973-10-13,M,M,oliver.olson@gmail.com,108270,3,Graduate Degree,Clerical,Y,Apple Pay
C00185,Mr.,Damian,Bennett,1968-09-23,S,M,damian.bennett@gmail.com,53502,2,Bachelors,Professional,N,Credit Card
C00186,Mr.,Tristan,Cole,1984-12-25,S,M,tristan.cole@gmail.com,57259,0,Bachelors,Professional,Y,Credit Card
C00187,Dr.,Tara,Schmidt,1975-09-17,S,F,tara.schmidt@outlook.com,124429,2,Bachelors,Professional,Y,Credit Card
C00188,Mr.,Kingston,Sanders,1991-10-21,M,M,kingston.sanders@gmail.com,42869,2,Graduate Degree,Professional,N,PayPal
C00189,Mr.,Andrew,Vazquez,1955-03-16,M,M,andrew.vazquez@gmail.com,51261,4,Graduate Degree,Clerical,N,Google Pay
C00190,Ms.,AsHlEy,Robertson,1992-02-28,M,F,ashley.robertson@gmail.com,72438,4,Graduate Degree,Skilled Manual,Y,Credit Card
C00191,Mrs.,Susan,Romero,1987-02-18,M,F,susan.romero@gmail.com,67548,0,Bachelors,Clerical,Y,Credit Card
C00192,Dr.,Eleanor,Martinez,1985-02-20,S,F,eleanor.martinez@outlook.com,93302,1,Partial College,Professional,Y,Credit Card
C00193,Ms.,Pauline,Kelley,1974-07-26,S,F,pauline.kelley@yahoo.com,114813,1,Graduate Degree,Professional,Y,PayPal
C00194,Mr.,Aiden,Nichols,1984-01-05,S,M,aiden.nichols@outlook.com,69102,0,High School,Management,N,Google Pay
C00195,Ms.,Sharon,Cooper,1978-10-01,M,F,sharon.cooper@gmail.com,70563,3,Bachelors,Professional,N,Credit Card
C00196,Ms.,Isabella,Moore,1976-11-06,M,F,isabella.moore@gmail.com,294757,0,Graduate Degree,Clerical,Y,PayPal
C00197,Ms.,Ellie,Oliver,1977-10-28,S,F,ellie.oliver@gmail.com,149304,1,Bachelors,Management,N,Credit Card
C00198,Dr.,Connie,Evans,1987-02-02,S,F,connie.evans@aol.com,69447,2,Bachelors,Management,N,Apple Pay
C00199,Dr.,Wyatt,Mason,1978-10-03,S,M,wyatt.mason@outlook.com,126090,0,Bachelors,Management,N,PayPal
C00200,Mr.,Sawyer,George,1957-08-06,S,M,sawyer.george@gmail.com,76399,1,Bachelors,Professional,N,Credit Card
C00201,Mr.,Larry,Sanchez,1993-09-06,S,M,larry.sanchez@gmail.com,94554,1,Partial College,Clerical,N,Credit Card
C00202,Ms.,Gianna,Bishop,1991-05-28,S,F,gianna.bishop@gmail.com,69028,0,Bachelors,Professional,Y,Google Pay
C00203,Mr.,Spencer,Castillo,1961-03-12,M,M,spencer.castillo@gmail.com,80790,1,Bachelors,Skilled Manual,Y,Credit Card
C00204,Dr.,Destiny,Munoz,1985-05-14,M,F,destiny.munoz@gmail.com,43266,1,Bachelors,Clerical,N,Apple Pay
